Source;Accessible au public;Tarif;Accessibilite PMR;Indications de localisation;Type;Horaires d'ouverture;Relais bébé;coord_geo;osm_id;nom_de_la_commune;code_geogrephique_commune;nom_departement;code_geographique_departement
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8582057997275, 2.3498024;node/291453999;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.8826061997214, 2.4128265;node/2970575225;Les Lilas;93045;Seine-Saint-Denis;93
Openstreetmap;;Gratuit;;;Toilettes publiques;;;48.819740299737, 2.1132444;node/3061359569;Versailles;78646;Yvelines;78
Openstreetmap;;;;;Toilettes publiques;;;48.7201416997617, 1.8946732;node/3213469834;Les Essarts-le-Roi;78220;Yvelines;78
Openstreetmap;;;Non;L'Energie;Toilettes dans un bâtiment recevant du public;;;48.8797551997221, 2.3494151;node/3351989068;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;Oui;49.0021745996918, 2.5786133;node/3739851200;Le Mesnil-Amelot;77291;Seine-et-Marne;77
Openstreetmap;;;;Toilettes;Toilettes publiques;;;48.80765059974, 2.3830412;node/3816803228;Ivry-sur-Seine;94041;Val-de-Marne;94
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.9026477997165, 2.3615068;node/4452335506;Saint-Denis;93066;Seine-Saint-Denis;93
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8425953997314, 2.292132;node/470265423;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.823843099736, 2.3181803;node/770500731;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;;48.8192307997372, 2.3384217;node/8079428200;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.6074688997896, 2.2940815;node/9172387201;Brétigny-sur-Orge;91103;Essonne;91
Openstreetmap;;;;;Toilettes publiques;;;48.8097708997395, 2.3685488;node/9945538520;Ivry-sur-Seine;94041;Val-de-Marne;94
Openstreetmap;;;;Barrière de Péage de Saint-Arnoult-en-Yvelines;Toilettes dans un bâtiment recevant du public;;;48.5538907530623, 1.93155940029092;relation/6145750;Saint-Arnoult-en-Yvelines;78537;Yvelines;78
Openstreetmap;;;;Carrefour Market;Toilettes dans un bâtiment recevant du public;24/7;;49.035696090118, 2.80142126456874;way/116167317;Saint-Soupplets;77437;Seine-et-Marne;77
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8298556842353, 2.37747825964818;way/337133434;Paris;75056;Paris;75
Autres;Oui;Gratuit;Oui;Station metro 14 - Olympiades - A proximité du point de vente - information.;Toilette publique  RATP_x000D_;;;48.8269104, 2.3661972;;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques (Toilettes assises);;;48.8445763997309, 2.3615857;node/11090136351;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;Mo-Su 09:00-20:00;;48.6051147997902, 2.2977386;node/11746386587;Brétigny-sur-Orge;91103;Essonne;91
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;;;48.8830988997213, 2.3252344;node/5517283651;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;;;Toilettes publiques;;;48.8218052997365, 2.3653093;node/9089019617;Paris;75056;Paris;75
Openstreetmap;;Gratuit;Oui;;Toilettes publiques;;;48.8337926021391, 2.37644674731606;way/493219725;Paris;75056;Paris;75
Openstreetmap;Oui;Gratuit;Non;;Toilettes publiques (Toilettes assises);;;48.880220299722, 2.3090247;node/9229780423;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.8553776997282, 2.3463986;node/10310751246;Paris;75056;Paris;75
Openstreetmap;;Payant;;;Toilettes publiques;;;48.9351902997084, 2.3584597;node/1857613728;Saint-Denis;93066;Seine-Saint-Denis;93
Openstreetmap;;;;;Toilettes publiques;;;48.8623434997264, 2.4069746;node/3118263918;Paris;75056;Paris;75
Openstreetmap;;;Non;Mi Casa;Toilettes dans un bâtiment recevant du public;;;48.8168354997378, 2.3323541;node/4840451740;Gentilly;94037;Val-de-Marne;94
Openstreetmap;;Gratuit;Oui;;Toilettes publiques (Toilettes assises);6:00-22:00;;48.8954930997182, 2.3789509;node/5267714712;Paris;75056;Paris;75
Openstreetmap;;;;Esso;Toilettes dans un bâtiment recevant du public;24/7;;48.9896667996949, 2.2576606;node/538834442;Ermont;95219;Val-d'Oise;95
Openstreetmap;;Gratuit;Non;;Toilettes publiques;;Oui;49.0026356996917, 2.5908122;node/5822194231;Le Mesnil-Amelot;77291;Seine-et-Marne;77
Openstreetmap;;;;Esso;Toilettes dans un bâtiment recevant du public;;;48.8335243997336, 2.5465348;node/8124908363;Villiers-sur-Marne;94079;Val-de-Marne;94
Openstreetmap;;;;;Toilettes dans un bâtiment recevant du public;24/7;;49.0056751996909, 2.1135645;node/963521230;Conflans-Sainte-Honorine;78172;Yvelines;78
Openstreetmap;;Payant;Oui;;Toilettes publiques;;;48.8915732997192, 2.3890998;node/9796987230;Paris;75056;Paris;75
Openstreetmap;;;;Total;Toilettes dans un bâtiment recevant du public;24/7;;48.818564510533, 2.14980952414972;way/165763302;Versailles;78646;Yvelines;78
Openstreetmap;;;;Les Portes d'Étampes;Toilettes dans un bâtiment recevant du public;;;48.4397734471333, 2.13914355632378;way/596108643;Étampes;91223;Essonne;91
Openstreetmap;;;;;Toilettes publiques;;;48.8832988702658, 2.32891040832543;way/69257274;Paris;75056;Paris;75
Openstreetmap;;;;Station Service E. Leclerc;Toilettes dans un bâtiment recevant du public;24/7;;48.7982625421479, 2.03576404694854;way/85861414;Bois-d'Arcy;78073;Yvelines;78
Autres;Oui;Payant;Oui;Station metro 10 - Cluny - La Sorbonne - Sortie 2 boulevard St-Germain, à proximité du point de vente - information.;Toilette publique  RATP_x000D_;;;48.85079575570429, 2.3450308883652258;;Paris;75056;Paris;75
Openstreetmap;Oui;;;;Toilettes publiques;;;48.8627177997264, 1.7886313;node/10825018550;Thoiry;78616;Yvelines;78
Openstreetmap;Oui;Gratuit;Oui;;Toilettes publiques;24/7;;48.8745946997234, 2.36274;node/2750842124;Paris;75056;Paris;75
Openstreetmap;Oui;;Oui;;Toilettes publiques;;;48.8049065997407, 2.3823077;node/2952572068;Ivry-sur-Seine;94041;Val-de-Marne;94
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.86355463067632, 2.3663055271101103;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;6 h - 22 h;;48.83204937537727, 2.3133813892291073;;Paris;75056;Paris;75
Autres;;Gratuit;Non;;TOILETTES;;Non;48.88027485429225, 2.3090771864035164;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;TOILETTES;;Non;48.846002972916274, 2.2528237722993447;;Paris;75056;Paris;75
Autres;;Gratuit;Oui;;SANISETTE;24 h / 24;;48.84622521629628, 2.354872194164931;;Paris;75056;Paris;75
Openstreetmap;;;;;Toilettes publiques;;;48.8262707997354, 2.8146364;node/10239189712;Villeneuve-le-Comte;77508;Seine-et-Marne;77
Openstreetmap;;;Oui;Café de l'Onde;Toilettes dans un bâtiment recevant du public;;;48.7828777997462, 2.1795488;node/10291536228;Vélizy-Villacoublay;78640;Yvelines;78
